排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
720,卫浴电器,963190.0,105500,3,321063.3333333333,9.306190346660575,,0.11,2,1,0,⭐,auto
721,辅料,871010.0,76200,3,290336.6666666667,11.87759830541555,,-0.1,0,1,2,⭐,auto
722,综合电商,846937.0,180200,3,282312.3333333333,19.97818681909044,,0.1,1,1,1,⭐,auto
723,汽车经销商,756625.0,152200,4,189156.25,6.925350404757971,,0.09,1,0,3,⭐,auto
724,人力资源服务,651760.0,44090,3,217253.33333333334,19.887240257149873,,0.37,2,1,0,⭐,auto
725,学历教育,641330.0,103000,2,320665.0,6.596129761589198,,0.0,0,0,2,⭐,auto
726,个护小家电,601501.0,19371,3,200500.33333333334,31.592408723842524,,-0.18,0,3,0,⭐,auto
727,长材,480540.0,162500,3,160180.0,3.0488378074666,,0.14,1,0,2,⭐,auto
728,农业综合Ⅱ,351115.0,73100,2,175557.5,4.879336542158552,,0.18,1,0,1,⭐,auto
729,海洋捕捞,311862.0,31800,2,155931.0,9.821919118071454,,-0.05,0,1,1,⭐,auto
730,会展服务,242544.0,24400,3,80848.0,10.385854607823735,,0.43,2,1,0,⭐,auto
731,房地产综合服务,236135.0,56900,1,236135.0,4.15,,0.0,0,0,1,⭐,auto
732,纺织鞋类制造,234850.0,6100,1,234850.0,38.5,,0.23,1,0,0,⭐,auto
